timestamp,location,vehicle_count,avg_speed,traffic_density,road_type,weather,is_peak_hour,accident_reported,signal_delay,congestion_level
2024-01-07 14:00,Hyderabad,65,42,low,city,clear,0,0,15,low
2024-01-07 17:00,Hyderabad,145,17,high,city,clear,1,1,68,high
2024-01-07 21:00,Hyderabad,55,48,low,highway,clear,0,0,6,low

2024-01-08 08:00,Pune,120,24,high,city,clear,1,0,45,high
2024-01-08 09:00,Pune,100,28,medium,city,clear,1,0,30,medium
2024-01-08 12:00,Pune,70,38,medium,city,clear,0,0,20,medium
2024-01-08 16:00,Pune,110,22,high,city,rain,1,1,48,high
2024-01-08 18:00,Pune,150,16,high,city,rain,1,1,65,high
2024-01-08 22:00,Pune,50,52,low,highway,clear,0,0,5,low

2024-01-09 08:00,Kolkata,130,21,high,city,fog,1,0,50,high
2024-01-09 09:00,Kolkata,100,28,medium,city,fog,1,0,35,medium
2024-01-09 11:00,Kolkata,80,34,medium,city,clear,0,0,25,medium
2024-01-09 14:00,Kolkata,60,42,low,city,clear,0,0,15,low
2024-01-09 17:00,Kolkata,150,16,high,city,clear,1,1,70,high
2024-01-09 21:00,Kolkata,55,48,low,highway,clear,0,0,6,low

2024-01-10 08:00,Ahmedabad,125,23,high,city,clear,1,0,46,high
2024-01-10 09:00,Ahmedabad,95,30,medium,city,clear,1,0,32,medium
2024-01-10 12:00,Ahmedabad,70,38,medium,city,clear,0,0,20,medium
2024-01-10 15:00,Ahmedabad,85,34,medium,city,clear,0,0,25,medium
2024-01-10 18:00,Ahmedabad,140,18,high,city,clear,1,1,65,high
2024-01-10 22:00,Ahmedabad,45,50,low,highway,clear,0,0,5,low

2024-01-11 08:00,Chennai,135,20,high,city,rain,1,1,52,high
2024-01-11 09:00,Chennai,105,28,medium,city,rain,1,0,35,medium
2024-01-11 11:00,Chennai,75,36,medium,city,clear,0,0,22,medium
2024-01-11 14:00,Chennai,65,42,low,city,clear,0,0,15,low
2024-01-11 17:00,Chennai,150,16,high,city,rain,1,1,70,high
2024-01-11 21:00,Chennai,55,48,low,highway,clear,0,0,6,low 
